   Time (ps)    Forward (kJ/mol)           Time (ps)    Reverse (kJ/mol)
 4999900.0       7.787 +- 0.076                0.0       8.016 +- 0.030
 9999800.0       8.529 +- 0.052          4999900.0       7.730 +- 0.031
14999700.0       8.977 +- 0.047          9999800.0       8.262 +- 0.030
19999600.0       8.276 +- 0.040         14999700.0       8.282 +- 0.032
24999500.0       7.343 +- 0.094         19999600.0       8.788 +- 0.035
29999400.0       8.216 +- 0.039         24999500.0       8.755 +- 0.036
34999300.0       8.997 +- 0.040         29999400.0       8.684 +- 0.040
39999200.0       7.709 +- 0.055         34999300.0       7.588 +- 0.050
44999100.0       7.619 +- 0.038         39999200.0       9.785 +- 0.064
49999000.0       8.016 +- 0.030         44999100.0       8.376 +- 0.075
